"","Acid resistance","Aminoglycosides","Arsenic resistance","betalactams","Biocide and metal resistance","Cationic antimicrobial peptides","Copper resistance","Drug and biocide and metal resistance","Drug and biocide resistance","Glycopeptides","Mercury resistance","Metronidazole","MLS","Multi-metal resistance","Nucleosides","Sulfonamides","Tetracyclines","Zinc resistance","Prevotella","Bacteroides","Methanobrevibacter","Fibrobacter","Olsenella","Streptomyces","Pseudomonas","Clostridium","Butyrivibrio","Ruminococcus"
"stewartERR2027891",0,0.0120976945902762,0,0.00251084227345355,0,0,0,0,0,0,0,0.0273910066194932,0.0230540972380735,0,0,0,0.934946359278703,0,0.331558181106298,0.0950856916310335,0.143199674399217,0.181178700141502,0.0172486874394155,0.057814524241161,0.0468669711324538,0.0812926463569194,0.0197926192938146,0.0259623042581862
"wallaceERR983263",0,0.027136752136752,0,0,0,0,0,0,0,0,0,0.016559829059829,0.0254273504273504,0,0,0,0.930876068376069,0,0.415530703362595,0.14763860729461,0.158223556499795,0.00769336539913292,0.0620659254146625,0.048693192847745,0.0481863231456118,0.0435395681901517,0.0279573690227121,0.0404713888229838
"shiSRR873606",0,0.0779369627507163,0,0,0,0,0,0,0,0,0,0.922063037249284,0,0,0,0,0,0,0.696166711119896,0.131169844888846,0.0143561886609732,0.0182407640763048,0.00780686872189983,0.0281910621823523,0.0295917675069184,0.0233230049990901,0.0227339691002299,0.0284198187434896
"stewartERR2027921",0,0.0139070888109228,0,0.00160628989305491,0,0,0,0,0,0,0,0.0233334742359555,0.0118780910512745,0,0,0,0.949275056008792,0,0.408230960439492,0.115245635751127,0.135416351512935,0.0300929610331869,0.0822925038794054,0.0624116199318347,0.0495349317492118,0.0558266060343774,0.035466907652393,0.0254815220160368
"stewartERR2027890",0,0.00281840341255332,0,0.00396099939061549,0,0,0,0,0,0,0,0.0194241316270567,0.0109689213893967,0,0.000380865326020719,0,0.962446678854357,0,0.536614893211371,0.114734616512503,0.0707191998953531,0.0885365413667546,0.0161852251149278,0.0383183986279621,0.0383654213621717,0.0510867808834631,0.0248480951945331,0.020590827830961
"stewartERR2027903",0,0.00157037954525347,0,0.00199062195877201,0,0,0,0,0,0,0,0.0068123507033531,0.0087366185968327,0,0,0.00309652304697868,0.97779350614881,0,0.688627147960306,0.122313608129877,0.0503876630808607,0.00862739261504569,0.0394378343774059,0.0173302204415661,0.0220324335730525,0.0150449922615196,0.0258518508513348,0.0103468567090319
"stewartERR2027904",0,0.00637539358297119,0,0.00317468578417341,0,0,0,0,0,0,0,0.0100444976450077,0.0474381326602306,0,0.000624528350984933,0,0.932342761976632,0,0.508969060197977,0.159640030974931,0.0487259497527962,0.00219367579877292,0.0936331089636381,0.034385152194134,0.0566984052797901,0.0431224349839551,0.017932392782902,0.0346997890711033
"wallaceERR2027890",0,0.00315457413249211,0,0.0043813529617946,0,0,0,0,0,0,0,0.0206799859796705,0.0117420259376095,0,0,0,0.960042060988433,0,0.536549052616336,0.115923376641008,0.0719857722749427,0.0851464179529997,0.0159310697493404,0.0382148368382229,0.0386311697597488,0.052391877887744,0.0245473510817867,0.0206790751978713
"shiSRR873603",0,0.115537848605578,0,0,0,0,0,0,0,0,0,0.884462151394422,0,0,0,0,0,0,0.486997781901919,0.132531948374532,0.0459967210724022,0.0761997840706217,0.0495931918737165,0.0424514100094322,0.0381051844220361,0.0477355641331423,0.0561533992411893,0.0242350149010089
"stewartERR2027895",0,0.00127591706539075,0,0,0,0,0,0,0,0,0,0.00684033315612263,0.0107744107744108,0,0,0,0.981109339004076,0,0.502381089969875,0.113281291220594,0.0616455324099083,0.0537693681832914,0.0722110695433041,0.036906015160385,0.0462183205991794,0.0576858428535894,0.0232827735916846,0.0326186964681881
"hessSRR094427",0,0.0132512085592992,0,0,0,0,0,0,0,0,0,0,0.0758018208142133,0,0,0,0.910946970626488,0,0.114944267362649,0.0679654905929688,0.0446576148686371,0.576360451141467,0.0090783832172294,0.0250817494520243,0.0233876312872823,0.0138692173779121,0.107273982360269,0.0173812123395607
"wallaceERR2282092",0,0,0,0.00673145179056618,0,0,0.0237436663158152,0,0.0439135436810027,0.00190928450786968,0.0237191883093041,0.00614397963429859,0.00607054561476513,0.161970969084278,0,0,0.718747705186889,0.00704966587521113,0.43778611742552,0.0813718962516623,0.0424044234856114,0.00131240560543298,0.279244686998558,0.0455637540086305,0.050981470913417,0.0287388706122847,0.0159710902861898,0.0166252844126937
"stewartERR2027928",0,0.00702016430171771,0,0.00612397311426436,0,0,0,0,0,0,0,0.0192681105302464,0.0207617625093353,0,0,0,0.946825989544436,0,0.389573241954106,0.0929746328392977,0.272892633896263,0.0524245397657846,0.0195269239961357,0.0494526671536335,0.0401495235242042,0.046750926527466,0.0194962080538042,0.0167587022893055
"shiSRR873601",0,0,0,0,0,0,0,0,0,0,0,0.991681521093286,0.0083184789067142,0,0,0,0,0,0.542243468179505,0.103251131542975,0.0387678058446365,0.0532187067090618,0.0437791459342332,0.0305845210013596,0.0319913940568158,0.0608139401781885,0.0551090275004341,0.0402408590527911
"hessSRR094416",0,0.00740502253702511,0,0,0,0,0,0,0,0,0,0.00434642627173213,0.0811332904056664,0,0,0,0.907115260785576,0,0.154448573951254,0.0939528962444303,0.041489907804768,0.406069690560769,0.0299418903102607,0.112794398472311,0.0778628775589825,0.0214697850146814,0.0369479066138271,0.0250220734687173
"wallaceERR983268",0,0.00543672651834895,0,0.0124472422920094,0,0,0,0,0,0,0,0.0265398097145719,0.0164532513055297,0,0,0,0.93912297016954,0,0.543832484022852,0.110241186956629,0.198035305578991,0.00495833497680351,0.0140309884591743,0.0288463048798324,0.0298341322634547,0.0247599108232721,0.0263055290758089,0.019155822963182
"stewartERR2027914",0,0.0124066337511077,0,0.00639321433092798,0,0,0,0,0,0,0,0.0250031649575896,0.0195594379035321,0,0,0,0.936637549056843,0,0.411648490693828,0.0978196683985185,0.211414849792537,0.0562895229783388,0.0241409647212157,0.0622408782319326,0.0497005520355147,0.0397945745227283,0.0277348361724381,0.0192156624529485
"stewartERR2027905",0,0.00681451612903226,0,0.00129032258064516,0,0,0,0,0,0.00155241935483871,0,0.00786290322580646,0.0210685483870968,0,0.000161290322580645,0,0.96125,0,0.521882048737775,0.105924407434008,0.120493995358699,0.00493741122773146,0.0764038776960692,0.0330465577016474,0.0630669601346851,0.0363291921541298,0.0131679254460625,0.0247476241091929
"wallaceERR983265",0,0.0232819074333801,0,0.00614953069371022,0,0,0,0,0,0,0,0.00778940554536624,0.0398748516560578,0,0.00118675153738267,0,0.921717553134103,0,0.445744147960655,0.107064156220674,0.306964381735544,0.00134613772559154,0.0250380799136378,0.00894699071565701,0.015275719020329,0.0673146556042387,0.0147703040054958,0.00753542709817772
"shiSRR873461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696779804813027,0.102670872140838,0.0361376222239137,0.0102104655415353,0.0111841726645417,0.0182256809916404,0.0191464793386589,0.012988640392973,0.0307130803489381,0.0619431815439339
"shiSRR873450",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.547917799201955,0.0726523699109876,0.00375539456604945,0.125808491518466,0.0881898295557506,0.0147885995762007,0.019398249331573,0.0166598252290033,0.0405493859347438,0.0702800551752702
"stewartERR2027924",0,0.0028346278133681,0,0.00515902262032995,0,0,0,0,0,0,0,0.020352627699983,0.00912750155904529,0,0,0,0.962526220307274,0,0.439919985532162,0.0979286447058366,0.298588901316207,0.0365097630999067,0.015766337946751,0.0309212374738551,0.0303407477418223,0.0252239877626198,0.0126001526443097,0.01220024177653
"shiSRR873457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607242983641003,0.138021912051628,0.00288608734804142,0.0227315023262795,0.0479168542698484,0.0228665766171394,0.0275941767972384,0.0161293711541348,0.0416193906648657,0.0729911451298214
"stewartERR2027919",0,0.0116952085446626,0,0.00316247986156691,0,0,0,0,0,0,0,0.00984545617280267,0.0137836386419237,0,0,0,0.961513216779044,0,0.34864393459812,0.088048869401597,0.223136448127998,0.0449368623420231,0.032544402247135,0.0766126143718364,0.0582956095754226,0.0503313022377427,0.0447723653552365,0.0326775917428881
"stewartERR2027925",0,0.00523264036204215,0,0.00579833121199265,0,0,0,0,0,0,0,0.0216376750106067,0.0161929005798331,0,0,0,0.951138452835525,0,0.420984152497654,0.101613908135192,0.256794455597697,0.0469309246584605,0.0218514625025273,0.0411108059821376,0.0352897703907022,0.038006131411357,0.0194725262432566,0.0179458625810152
"stewartERR2027910",0,0.00583436875371401,0,0.00334935984009508,0,0,0,0,0,0,0,0.0122089568364756,0.0140457025552374,0,0,0.000540219329047592,0.96402139268543,0,0.428433970170594,0.0951191468353037,0.172310038423023,0.0739276878150394,0.038462220471809,0.0450814890997889,0.0428761550472098,0.0448108387082323,0.0259628387679621,0.0330156146610384
"shiSRR1267595",0,0,0,0,0,0,0,0,0,0,0,0.815344603381014,0,0,0,0,0.184655396618986,0,0.652578652378168,0.160809257292425,0.0105809674968475,0.0425561774287862,0.0289568043406486,0.022849823581592,0.0288293534772526,0.0270701815100779,0.0149018859068145,0.0108668965873878
"stewartERR2027927",0,0.00549487823078488,0,0.00515568821653891,0,0,0,0,0,0,0,0.0282884471881148,0.0152635506410691,0,0,0,0.945797435723492,0,0.474748812785041,0.104973291508911,0.180978574212834,0.0515588428287005,0.0183305772501347,0.0537061628047118,0.0417976394319319,0.0321316231502302,0.0243060117358836,0.0174684642916215
"shiSRR873463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578747197581102,0.101928641700818,0.00952667737790529,0.028410907313411,0.0188347299880994,0.0276003456746328,0.02797159528018,0.0243477866304766,0.0839745982769894,0.0986575201763848
"stewartERR2027894",0,0.00223661884929816,0,0.00196668209162425,0,0,0,0,0,0.000771247879068333,0,0.00709548048742866,0.0538331019589697,0,0,0,0.934096868733611,0,0.445825144233817,0.117320128359563,0.0714646255285322,0.0218520938897532,0.0431982111592839,0.0642139195997054,0.108065023482192,0.0493936815102732,0.0206718881828246,0.0579952840540554
"stewartERR2027899",0,0.0133572650999708,0,0.00342279918186752,0,0,0,0,0,0.000918311975622991,0,0.00615686438201779,0.0193889051216763,0,0.004800267145302,0,0.951955587093543,0,0.491986270931125,0.124238661331432,0.0650275012020261,0.00224644575432852,0.0729681985858047,0.0383147749980355,0.0635202515308906,0.109662957663377,0.0251331107901762,0.00690182721280457
"stewartERR2027920",0,0.0043416951165207,0,0,0,0,0,0,0,0,0,0.013284844886448,0.00738459254861214,0,0,0,0.974988867448419,0,0.412909289845762,0.0937791829443492,0.237699901271329,0.0787245785815861,0.0227598124519563,0.041081995800692,0.0352882136425293,0.0357056549791188,0.0262538723376351,0.0157974981450425
"wallaceERR983264",0,0.00622603794606284,0,0,0,0,0,0,0,0.00378477569879083,0,0.00958482157485992,0.0338008323229676,0,0,0,0.946603532457319,0,0.438948889818506,0.123353977285559,0.0484243886124533,0.00473764185771911,0.0976736033070472,0.0417117883455409,0.0750763797555203,0.0636105444389839,0.0311858461134775,0.0752769404651934
"shiSRR873455",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.610051373988822,0.105838167722847,0.0300240441725316,0.0182176309329037,0.0809009740670035,0.0148410001162612,0.019376873448797,0.0218284691764492,0.0549123744083735,0.0440090919660112
"wallaceERR2530126",0,0,0,0,0,0,0,0,0,0,0.000671403793431433,0.0018183852738768,0,0,0,0,0.997510210932692,0,0.699431612266898,0.13785581576714,0.000897309447897792,0.0020354611555841,0.0638424662247406,0.0227511067275272,0.0387012867857881,0.0133142188682708,0.0132619216918596,0.00790880106429341
"stewartERR2027915",0,0.00632669757294792,0,0,0,0,0,0,0,0,0,0.0131442596127625,0.0238341968911917,0,0,0,0.956694845923098,0,0.338383754988945,0.0932448635107791,0.295859009343236,0.0167076719358305,0.0374491118306638,0.0550351256870536,0.0459944359249836,0.0522381739436593,0.0346148744993744,0.0304729783354755
"shiSRR873458",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54021687699584,0.108632064940199,0.0299414382951354,0.0507432359080136,0.0273830763022759,0.0224384118901359,0.0238589275362913,0.0285362851109067,0.0996583388467501,0.068591344174452
"stewartERR2027916",0,0.010134128166915,0,0.00200127741111348,0,0,0,0,0,0,0,0.0194166489248456,0.0119225037257824,0,0,0,0.956525441771343,0,0.395537094288818,0.0960496617070609,0.238388804708661,0.0268042127911824,0.0333972566803271,0.0562566970636648,0.0465957995861006,0.0489124532981372,0.0286646974591151,0.0293933224169331
